Region,River,Riv,FishID,ng.Hg.g.DW,ng.Cd.g.DW,ng.Pb.g.DW,ng.Al.g.DW,ng.Cr.g.DW,ng.Mn.g.DW,ng.Fe.g.DW,ng.Co.g.DW,ng.Ni.g.DW,ng.Cu.g.DW,ng.Zn.g.DW,ng.As.g.DW,ng.Se.g.DW
Scheldt-EastBank,Velpe,ve,1,463.003663,NA,2197.802198,100741.3919,4688.644689,4026.373626,161875.4579,NA,12987.54579,15958.97436,84788.27839,23073.99267,35223.44322
Scheldt-EastBank,Velpe,ve,2,394.8557525,161.2791102,1201.251303,54612.44352,3303.441084,2541.536323,59895.72471,789.711505,11778.93639,9359.749739,91851.23392,22912.75634,21244.35176
Scheldt-EastBank,Velpe,ve,3,340.0121433,145.71949,893.7462052,40777.17061,2554.948391,2593.806922,62197.93564,650.8803886,10802.67152,7747.419551,138715.2398,631.4511233,4128.718883
Scheldt-EastBank,Velpe,ve,4,488.5496183,88.82720333,3168.170252,51508.67453,1558.177192,2002.313208,50091.14041,473.7450844,7635.438353,6743.465186,105715.4754,25989.35924,4700.43951
Scheldt-EastBank,Velpe,ve,5,363.1205674,NA,2821.749409,78411.34752,NA,4236.406619,154091.7258,NA,18186.28842,13178.25059,132077.5414,1656.737589,6430.260047
Scheldt-EastBank,Velpe,ve,6,516.3062135,142.8081016,1109.509097,37706.83145,2372.811535,2768.280124,57771.36972,560.2471679,10930.31239,6124.270512,101272.9145,30116.03158,6426.364573
Scheldt-EastBank,Velpe,ve,7,510.955711,108.1585082,1909.55711,75129.13753,2103.496503,1730.536131,61639.16084,417.7156177,7932.867133,22317.94872,110765.5012,2468.997669,4773.892774
Scheldt-EastBank,Velpe,ve,8,346.3203463,119.6379378,2354.978355,96560.40929,5685.950413,5043.683589,408324.2818,573.0027548,14375.44274,18197.56002,93506.49351,26005.50964,47540.33845
Scheldt-EastBank,Velpe,ve,9,274.6160795,66.48599819,505.8717254,57553.74887,1107.136405,1948.328817,38408.67209,251.4905149,5726.467931,16728.45528,152478.4101,21816.07949,3873.532069
Scheldt-EastBank,Velpe,ve,10,277.6148583,117.3020528,1227.761486,37845.5523,1364.613881,2033.235582,48715.54252,277.6148583,7608.993157,6138.807429,109259.042,7405.669599,4066.471163
Scheldt-EastBank,Velpe,ve,11,228.050171,72.97605473,592.9304447,30549.60091,3451.159255,2040.288864,66076.77689,258.4568605,7245.914101,5898.897758,99454.19992,9140.250855,2767.008742
Scheldt-EastBank,Velpe,ve,12,360.1286174,148.6245088,1080.385852,86756.69882,2503.75134,5756.341551,75489.81779,365.8449446,11821.36477,10878.17078,107163.9871,79811.3612,139649.875
Scheldt-EastBank,Velpe,ve,13,369.4083694,173.1601732,1512.265512,126932.1789,3261.183261,8542.568543,69852.81385,363.6363636,12236.65224,16796.5368,136432.9004,73945.16595,130216.4502
Scheldt-EastBank,Velpe,ve,14,177.1871539,118.1247693,2545.588778,64844.5921,3331.118494,3590.992986,96330.74935,484.3115541,11954.22665,NA,142245.8472,104026.5781,106016.9804
Scheldt-EastBank,Velpe,ve,15,277.4114774,93.77289377,1422.222222,68536.26374,1734.798535,6556.288156,61999.5116,304.7619048,7775.335775,14050.30525,151935.5311,29643.95604,4571.428571
Scheldt-EastBank,Velpe,ve,16,123.5521236,123.5521236,1287.001287,123315.3153,3052.767053,9564.993565,64056.62806,314.028314,10501.9305,11984.55598,105590.7336,100102.9601,136061.7761
Scheldt-EastBank,Velpe,ve,17,241.4698163,141.7322835,1170.603675,46283.46457,2734.908136,1921.259843,53370.07874,320.2099738,10488.18898,NA,114188.9764,15695.53806,16167.979
Scheldt-EastBank,Velpe,ve,18,148.8372093,99.2248062,1304.806202,42617.05426,2912.248062,2311.937984,54395.03876,233.1782946,10061.39535,10711.31783,101521.8605,83185.11628,117730.2326
Scheldt-EastBank,Velpe,ve,19,180.7909605,106.3476238,1233.632436,59086.73978,4360.252576,2265.204387,80446.66002,249.9169159,11006.97906,12591.55866,89215.0216,157442.3396,176164.8388
Scheldt-EastBank,Velpe,ve,20,164.2710472,104.0383299,1127.994524,96919.91786,4495.550992,2239.561944,77995.89322,229.9794661,11394.93498,6910.335387,106047.9124,118193.0185,161861.7385
Scheldt-EastBank,Velpe,ve,21,163.8225256,100.1137656,869.1695108,49246.87144,3949.943117,2079.63595,59203.6405,236.632537,9651.877133,10093.28783,98612.05916,123281.0011,142434.5848
Scheldt-EastBank,Velpe,ve,22,284.5469839,73.05936073,1007.450132,84114.39558,4202.835857,2384.042298,86017.78419,196.1067051,8574.861812,6959.865417,112534.4869,94165.82552,110511.8962
Scheldt-EastBank,Velpe,ve,23,111.1111111,111.1111111,384.2592593,34597.22222,1074.074074,3500,63865.74074,166.6666667,8060.185185,5648.148148,112800.9259,94805.55556,124212.963
Scheldt-EastBank,Velpe,ve,24,274.4787543,101.3460016,439.1660069,49190.81552,76.00950119,1418.844022,88065.45263,147.7962523,7351.807865,7394.035366,157065.1887,130727.8965,131074.162
Scheldt-EastBank,Velpe,ve,25,94.89916963,139.1854488,455.5160142,41742.98142,1891.656781,1714.511665,96708.58047,177.1451166,10862.79162,6035.587189,127493.8711,97119.8102,145258.9957
Maas,Witbeek,wit,26,145.8190932,102.0733652,630.667578,87600.82023,1064.47938,2099.794942,134233.7662,120.3007519,6375.93985,7608.111187,93426.29301,54547.27728,83080.42834
Maas,Witbeek,wit,27,217.7858439,111.3127647,NA,44689.65517,24.1984271,2269.812462,48459.77011,140.3508772,8053.23654,6954.627949,88396.8542,58095.58379,110199.637
Maas,Witbeek,wit,28,267.3521851,191.9451585,534.7043702,93100.25707,1144.815767,3009.425878,125470.437,116.538132,11550.98543,12832.90488,101401.8852,159746.3582,195167.0951
Maas,Witbeek,wit,29,356.5357225,69.8368941,327.1307144,45000.68918,635.8832989,3050.769584,69851.5966,73.5125201,6123.592924,6362.508615,114477.3719,59526.76315,82297.26625
Maas,Witbeek,wit,30,301.9359037,59.86660159,221.2461363,15331.0558,13.01447861,3425.410769,38455.18139,52.05791443,4370.261916,4883.032374,86580.12038,49358.71157,66686.18838
Maas,Witbeek,wit,31,209.0309488,50.73566717,164.3835616,34212.07509,103.500761,1909.690512,41333.33333,85.23592085,3470.319635,4308.472856,133327.2451,63610.35008,58143.07458
Maas,Witbeek,wit,32,266.1996497,116.7542323,364.2732049,64882.662,443.6660829,2699.357852,76656.15879,88.73321658,8434.325744,5767.659078,92483.36252,87075.30648,119976.6492
Maas,Witbeek,wit,33,84.44162972,60.7979734,266.8355499,22113.57399,753.2193371,1823.939202,58737.59764,81.06396453,5667.722187,7032.298923,101860.2491,34043.48744,47050.87608
Maas,Witbeek,wit,34,285.4144806,37.30908243,212.6617698,27470.67739,1380.43605,1641.599627,71590.53282,63.42544013,3729.042789,6659.671214,92397.80809,48106.33088,52643.11531
Maas,Witbeek,wit,35,140.5269762,153.9104977,401.5056462,87106.64994,890.0041824,2301.965705,56197.40694,133.8352154,12212.4634,5955.667085,98569.63614,288649.1008,248598.9126
Maas,Witbeek,wit,36,367.2748676,109.8685501,348.440259,33086.1291,1378.065529,3927.015892,42384.14754,75.33843437,5349.02884,8528.938591,129698.2539,111086.5215,103558.9562
Maas,Witbeek,wit,37,178.0089582,53.17150701,108.6548187,25755.81563,11300.10114,6845.253576,71157.3472,108.6548187,9723.450368,3463.083369,76707.99017,88223.08915,78485.76795
Maas,Witbeek,wit,38,183.3747584,44.18668876,119.3040597,12628.55565,8170.118752,2043.634355,58569.45595,79.53603977,6859.98343,3510.632422,90655.61999,38787.07539,55542.66777
Maas,Witbeek,wit,39,318.7250996,89.24302789,446.2151394,48594.95352,8703.320053,NA,68755.37849,97.74236388,11027.88845,7305.179283,177249.4024,149239.8406,139176.6268
Maas,Witbeek,wit,40,473.8172625,34.6695558,129.047791,33675.6952,814.7345612,1700.73432,31951.84784,36.59564223,3632.599013,5764.776694,122658.9623,61544.2398,60825.80956
Maas,Witbeek,wit,41,364.3076923,88.61538462,708.9230769,30608.41026,3790.769231,6367.179487,65007.58974,85.33333333,6455.794872,5192.205128,120457.8462,106466.4615,101546.6667
Maas,Witbeek,wit,42,322.6135784,46.96273609,144.9719245,14542.11332,6644.206228,5649.821337,86676.87596,214.3950995,6883.103624,5623.277182,124941.2966,84739.15263,68422.66462
Maas,Witbeek,wit,43,297.9351032,56.04719764,351.0324484,58020.64897,8539.823009,NA,105123.8938,115.0442478,7879.056047,6023.59882,205117.9941,105666.6667,93539.82301
Maas,Witbeek,wit,44,0.522568424,10.9739369,11.49650532,0.522568424,2.612842119,2.612842119,2.612842119,0.522568424,780.1946567,25.60585277,51.73427396,2218.302959,17307.4662
Maas,Witbeek,wit,45,3.640500569,58.2480091,69.16951081,3.640500569,18.20250284,18.20250284,18.20250284,3.640500569,5282.366325,61.88850967,425.9385666,18559.2719,100186.5757
Maas,Witbeek,wit,46,195.9952886,37.69140165,122.4970554,16035.80683,5680.094229,6601.648999,51020.96584,90.45936396,5431.330978,3705.064782,105483.1567,25841.22497,27043.58068
