FishID,River,Riv,Region,XO,POX,CAT,SOD,GR,GPX,GST,FRAP,Polyphenol,ProteinContent
1,Velpe,ve,Scheldt-East,0.200139151,0.156498955,1.172701338,186.2357738,0.028527776,1.435874278,0.816084893,18.34280537,9.824378369,13.28450704
2,Velpe,ve,Scheldt-East,0.186210656,0.390360975,0.706733835,488.3836662,0.024319774,3.75047398,0.877900421,12.09253417,10.66129221,7.756046267
3,Velpe,ve,Scheldt-East,0.208810565,0.141874716,0.181738128,179.0267558,0.082690222,1.27094871,0.781322105,8.844924363,6.615654392,8.403443329
4,Velpe,ve,Scheldt-East,0.227829653,0.098121538,0.214093073,143.2924066,0.096586088,1.112003061,0.798794229,15.8423493,11.9855172,13.99381762
5,Velpe,ve,Scheldt-East,0.25241303,0.172013261,0.566297001,240.2976496,0.080783543,1.826187815,1.052983955,20.49636286,16.56127672,12.38143631
6,Velpe,ve,Scheldt-East,0.210560595,0.153470918,0.252884929,244.6562023,0,1.351674618,0.833054171,5.836787673,6.054980995,10.54224344
7,Velpe,ve,Scheldt-East,0.219978519,0.155252521,0.15013677,172.0109497,0.114178149,1.263359258,0.858926395,10.98847639,8.761794724,10.61906412
8,Velpe,ve,Scheldt-East,0.226129783,0.156661631,0.589797537,219.8157473,0.090711835,1.759866303,0.865862693,21.77535383,17.44719927,12.57151939
9,Velpe,ve,Scheldt-East,0.265134352,0.104899327,1.893122785,157.1386004,0.150915269,1.024218245,0.961493112,10.34553081,8.843276201,10.64278982
10,Velpe,ve,Scheldt-East,0.288190855,0.105891564,0.311107981,160.3710166,0.115816139,1.265146552,1.03442121,10.37796454,9.926876669,12.2785957
11,Velpe,ve,Scheldt-East,0.293440504,0.18150415,0.102806549,201.0962586,0.164288636,1.480445972,1.160087945,17.75052227,20.13088633,13.98047375
12,Velpe,ve,Scheldt-East,0.233645584,0.123356578,0.198351462,159.866373,0.139476085,1.208949991,0.898467911,19.48688056,13.844024,15.13428703
13,Velpe,ve,Scheldt-East,0.272412236,0.11708982,0.107223369,171.0062129,0.11351122,1.075627958,0.991050015,11.8796536,12.10112663,14.03278689
